#
# Transition date estimate for tonzi
#
# Site: tonzi
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2021-09-01
# Final Processing Time: 15:43:55
# Spline RMSE gcc_mean: 0.00309
# Spline RMSE gcc_50: 0.00297
# Spline RMSE gcc_75: 0.00296
# Spline RMSE gcc_90: 0.00281
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tonzi,GR,1000,rising,gcc_50,2020-02-24,2020-03-05,2020-03-13,2020-02-19,2020-03-02,2020-03-10,2020-03-01,2020-03-08,2020-03-15,0.31146,0.32069,0.33737,0.30673,0.36746
tonzi,GR,1000,rising,gcc_mean,2012-02-16,2012-03-10,2012-03-26,2012-02-12,2012-03-08,2012-03-21,2012-03-02,2012-03-13,2012-03-31,0.29534,0.30667,0.32822,0.28841,0.36671
tonzi,GR,1000,rising,gcc_mean,2013-03-06,2013-03-12,2013-03-22,2013-02-28,2013-03-10,2013-03-18,2013-03-07,2013-03-13,2013-03-24,0.307,0.31648,0.3338,0.30066,0.36438
tonzi,GR,1000,rising,gcc_mean,2014-03-05,2014-03-14,2014-03-25,2014-03-02,2014-03-11,2014-03-23,2014-03-08,2014-03-17,2014-03-26,0.30518,0.31729,0.33936,0.2974,0.37716
tonzi,GR,1000,rising,gcc_mean,2014-11-23,2014-11-30,2014-12-15,2014-11-22,2014-11-29,2014-12-14,2014-11-27,2014-12-05,2014-12-18,0.30057,0.30918,0.32649,0.29456,0.35689
tonzi,GR,1000,rising,gcc_mean,2016-01-30,2016-02-18,2016-03-04,2016-01-22,2016-02-16,2016-03-02,2016-02-14,2016-02-25,2016-03-05,0.30754,0.31729,0.33917,0.3005,0.37153
tonzi,GR,1000,rising,gcc_mean,2016-10-19,2016-10-24,2016-11-16,2016-10-17,2016-10-23,2016-11-15,2016-10-22,2016-10-27,2016-11-22,0.30091,0.30922,0.32455,0.29588,0.35301
tonzi,GR,1000,rising,gcc_mean,2018-03-07,2018-03-11,2018-03-30,2018-03-05,2018-03-09,2018-03-28,2018-03-09,2018-03-15,2018-04-01,0.30151,0.31077,0.32733,0.29645,0.3577
tonzi,GR,1000,rising,gcc_mean,2019-01-06,2019-03-05,2019-03-27,2018-12-15,2019-03-01,2019-03-24,2019-01-11,2019-03-18,2019-03-28,0.29999,0.31085,0.33046,0.29335,0.36442
tonzi,GR,1000,rising,gcc_mean,2020-02-27,2020-03-06,2020-03-14,2020-02-20,2020-03-05,2020-03-11,2020-03-04,2020-03-09,2020-03-16,0.30974,0.31683,0.33514,0.30379,0.36489
tonzi,GR,1000,falling,gcc_90,2020-05-29,2020-05-22,2020-05-09,2020-05-31,2020-05-24,2020-05-11,2020-05-26,2020-05-19,2020-05-08,0.3136,0.32498,0.34574,0.30617,0.3827
tonzi,GR,1000,falling,gcc_90,2019-06-20,2019-06-08,2019-05-09,2019-06-23,2019-06-11,2019-05-11,2019-06-16,2019-05-31,2019-05-08,0.31028,0.32405,0.34932,0.30258,0.39018
tonzi,GR,1000,falling,gcc_90,2018-06-01,2018-05-23,2018-05-15,2018-06-03,2018-05-26,2018-05-18,2018-05-27,2018-05-20,2018-05-13,0.30888,0.32161,0.34224,0.3025,0.37968
tonzi,GR,1000,falling,gcc_90,2017-06-02,2017-05-24,2017-05-16,2017-06-16,2017-06-09,2017-05-19,2017-05-26,2017-05-20,2017-05-14,0.31199,0.32274,0.34578,0.30432,0.38498
tonzi,GR,1000,falling,gcc_90,2016-05-29,2016-05-25,2016-05-17,2016-05-31,2016-05-26,2016-05-19,2016-05-27,2016-05-23,2016-05-16,0.31445,0.32597,0.35119,0.30567,0.39353
tonzi,GR,1000,falling,gcc_90,2015-05-27,2015-05-16,2015-05-08,2015-05-30,2015-05-20,2015-05-10,2015-05-23,2015-05-14,2015-05-06,0.31078,0.32149,0.33933,0.30396,0.37428
tonzi,GR,1000,falling,gcc_90,2014-05-25,2014-05-21,2014-05-16,2014-05-26,2014-05-23,2014-05-18,2014-05-22,2014-05-19,2014-05-15,0.31197,0.32854,0.35582,0.30497,0.40035
tonzi,GR,1000,falling,gcc_90,2013-05-12,2013-05-06,2013-04-28,2013-05-14,2013-05-07,2013-04-30,2013-05-09,2013-05-04,2013-04-27,0.31011,0.32203,0.34462,0.30308,0.38499
tonzi,GR,1000,falling,gcc_90,2012-05-28,2012-05-23,2012-05-16,2012-05-29,2012-05-24,2012-05-18,2012-05-25,2012-05-21,2012-05-15,0.31248,0.32582,0.35005,0.30595,0.39159
tonzi,GR,1000,falling,gcc_75,2020-05-30,2020-05-23,2020-05-09,2020-05-31,2020-05-25,2020-05-11,2020-05-26,2020-05-20,2020-05-08,0.31017,0.32193,0.34169,0.30462,0.37744
