#
# Transition date estimate for oakville
#
# Site: oakville
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2020
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:11:43
# Spline RMSE gcc_mean: 0.00229
# Spline RMSE gcc_50: 0.00235
# Spline RMSE gcc_75: 0.00232
# Spline RMSE gcc_90: 0.00259
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oakville,GR,1000,falling,gcc_90,2018-10-05,2018-09-25,2018-08-21,2018-10-07,2018-09-26,2018-08-26,2018-10-02,2018-09-23,2018-08-18,0.35074,0.36654,0.39501,0.34032,0.44946
oakville,GR,1000,falling,gcc_90,2017-10-09,2017-09-30,2017-09-03,2017-10-11,2017-10-01,2017-09-05,2017-10-06,2017-09-26,2017-09-02,0.3516,0.36573,0.39148,0.34361,0.43622
oakville,GR,1000,falling,gcc_90,2016-10-16,2016-10-06,2016-09-14,2016-10-28,2016-10-28,2016-09-17,2016-10-04,2016-10-04,2016-09-13,0.34972,0.36527,0.39215,0.3399,0.44267
oakville,GR,1000,falling,gcc_90,2015-10-06,2015-09-27,2015-09-10,2015-10-07,2015-09-29,2015-09-13,2015-10-03,2015-09-24,2015-09-08,0.35905,0.3726,0.39374,0.35268,0.4344
oakville,GR,1000,falling,gcc_90,2014-10-10,2014-09-29,2014-09-08,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.34971,0.36497,0.39134,0.34099,0.43895
oakville,GR,1000,falling,gcc_75,2020-10-07,2020-09-26,2020-09-13,2020-10-09,2020-09-28,2020-09-15,2020-10-04,2020-09-24,2020-09-12,0.34607,0.3593,0.38053,0.33823,0.42261
oakville,GR,1000,falling,gcc_75,2019-10-08,2019-09-22,2019-08-25,2019-10-10,2019-09-25,2019-08-28,2019-10-05,2019-09-19,2019-08-24,0.35139,0.36689,0.39244,0.34218,0.44106
oakville,GR,1000,falling,gcc_75,2018-10-05,2018-09-25,2018-08-21,2018-10-07,2018-09-26,2018-08-27,2018-10-02,2018-09-23,2018-08-18,0.34982,0.36535,0.39341,0.33944,0.44645
oakville,GR,1000,falling,gcc_75,2017-10-09,2017-09-29,2017-09-03,2017-10-10,2017-10-01,2017-09-05,2017-10-06,2017-09-26,2017-09-02,0.35039,0.36509,0.38795,0.34292,0.43199
oakville,GR,1000,falling,gcc_75,2016-10-16,2016-10-06,2016-09-14,2016-10-28,2016-10-28,2016-09-16,2016-10-04,2016-10-04,2016-09-13,0.34864,0.36385,0.3901,0.33931,0.43959
oakville,GR,1000,falling,gcc_75,2015-10-06,2015-09-28,2015-09-10,2015-10-07,2015-09-29,2015-09-13,2015-10-04,2015-09-25,2015-09-08,0.35733,0.36913,0.39102,0.35052,0.42991
oakville,GR,1000,falling,gcc_75,2014-10-10,2014-09-29,2014-09-10,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.34868,0.36345,0.3884,0.34017,0.43498
oakville,GR,1000,falling,gcc_50,2020-10-07,2020-09-27,2020-09-13,2020-10-09,2020-09-28,2020-09-15,2020-10-04,2020-09-24,2020-09-12,0.34481,0.35667,0.37855,0.33723,0.41945
oakville,GR,1000,falling,gcc_50,2019-10-08,2019-09-23,2019-08-26,2019-10-10,2019-09-25,2019-08-29,2019-10-05,2019-09-20,2019-08-24,0.34996,0.36478,0.38954,0.34063,0.43788
oakville,GR,1000,falling,gcc_50,2018-10-05,2018-09-25,2018-08-20,2018-10-07,2018-09-27,2018-08-26,2018-10-02,2018-09-23,2018-08-17,0.34859,0.36409,0.39116,0.33847,0.44279
oakville,GR,1000,falling,gcc_50,2017-10-09,2017-09-29,2017-09-02,2017-11-01,2017-10-01,2017-09-04,2017-10-07,2017-09-24,2017-09-01,0.34911,0.36171,0.38515,0.34124,0.4264
oakville,GR,1000,falling,gcc_50,2016-10-15,2016-10-04,2016-09-14,2016-10-28,2016-10-18,2016-09-16,2016-10-04,2016-10-01,2016-09-12,0.34744,0.36286,0.38692,0.33907,0.43433
oakville,GR,1000,falling,gcc_50,2015-10-09,2015-10-01,2015-09-13,2015-10-10,2015-10-02,2015-09-16,2015-10-06,2015-09-28,2015-09-11,0.35082,0.36306,0.38483,0.34399,0.42399
oakville,GR,1000,falling,gcc_50,2014-10-10,2014-09-29,2014-09-10,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.34714,0.36135,0.38554,0.3391,0.43024
oakville,GR,1000,falling,gcc_mean,2020-10-06,2020-09-26,2020-09-12,2020-10-08,2020-09-28,2020-09-14,2020-10-04,2020-09-24,2020-09-11,0.3455,0.3579,0.38018,0.33749,0.41936
oakville,GR,1000,falling,gcc_mean,2019-10-07,2019-09-22,2019-08-25,2019-10-09,2019-09-24,2019-08-28,2019-10-04,2019-09-19,2019-08-23,0.35051,0.36538,0.39022,0.34163,0.43759
oakville,GR,1000,falling,gcc_mean,2018-10-03,2018-09-24,2018-08-19,2018-10-05,2018-09-25,2018-08-24,2018-10-01,2018-09-22,2018-08-16,0.35077,0.36522,0.39116,0.34088,0.44069
oakville,GR,1000,falling,gcc_mean,2017-10-09,2017-09-29,2017-09-03,2017-10-11,2017-10-01,2017-09-05,2017-10-06,2017-09-25,2017-09-02,0.3489,0.36198,0.38376,0.3413,0.42526
oakville,GR,1000,falling,gcc_mean,2016-10-03,2016-09-22,2016-09-04,2016-10-14,2016-09-24,2016-09-07,2016-09-29,2016-09-19,2016-09-02,0.36473,0.37608,0.39591,0.35835,0.43263
oakville,GR,1000,falling,gcc_mean,2015-10-09,2015-10-01,2015-09-14,2015-10-10,2015-10-02,2015-09-17,2015-10-07,2015-09-29,2015-09-12,0.35013,0.36247,0.3839,0.34303,0.42397
oakville,GR,1000,falling,gcc_mean,2014-10-10,2014-09-30,2014-09-10,2015-03-30,2015-03-30,2015-03-30,2014-08-21,2014-08-21,2014-08-21,0.34685,0.35994,0.38475,0.3383,0.42939
