#
# Transition date estimate for butte
#
# Site: butte
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2022-05-03
# Final Processing Time: 14:05:01
# Spline RMSE gcc_mean: 0.00168
# Spline RMSE gcc_50: 0.00192
# Spline RMSE gcc_75: 0.00167
# Spline RMSE gcc_90: 0.00177
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
butte,GR,1000,rising,gcc_50,2014-05-15,2014-05-24,2014-06-04,2014-05-07,2014-05-23,2014-06-02,2014-05-19,2014-05-26,2014-06-05,0.35758,0.36568,0.38235,0.35188,0.41111
butte,GR,1000,rising,gcc_50,2015-05-15,2015-05-21,2015-05-27,2015-05-12,2015-05-20,2015-05-25,2015-05-17,2015-05-22,2015-05-28,0.36154,0.36913,0.3837,0.35621,0.40959
butte,GR,1000,rising,gcc_50,2016-04-13,2016-04-27,2016-05-08,2016-03-30,2016-04-25,2016-05-06,2016-04-19,2016-04-29,2016-05-09,0.3562,0.36476,0.37935,0.35075,0.40753
butte,GR,1000,rising,gcc_50,2017-04-29,2017-05-05,2017-05-20,2017-04-26,2017-05-04,2017-05-15,2017-05-02,2017-05-07,2017-05-22,0.35913,0.36487,0.37669,0.35504,0.39743
butte,GR,1000,rising,gcc_50,2018-05-01,2018-05-08,2018-05-16,2018-04-28,2018-05-07,2018-05-14,2018-05-03,2018-05-09,2018-05-17,0.35944,0.36774,0.38279,0.35389,0.40959
butte,GR,1000,rising,gcc_50,2019-05-05,2019-05-12,2019-05-22,2019-05-02,2019-05-11,2019-05-20,2019-05-08,2019-05-14,2019-05-23,0.358,0.36579,0.38083,0.35293,0.40755
butte,GR,1000,rising,gcc_mean,2009-05-18,2009-05-26,2009-06-04,2009-05-15,2009-05-25,2009-06-02,2009-05-22,2009-05-28,2009-06-05,0.35539,0.36312,0.37688,0.35061,0.40305
butte,GR,1000,rising,gcc_mean,2010-05-21,2010-05-31,2010-06-07,2010-05-16,2010-05-26,2010-05-26,2010-05-26,2010-06-13,2010-06-13,0.3569,0.36404,0.37847,0.35169,0.40454
butte,GR,1000,rising,gcc_mean,2011-05-16,2011-05-23,2011-06-07,2011-05-08,2011-05-17,2011-05-17,2011-06-06,2011-06-16,2011-06-16,0.35508,0.36286,0.37852,0.34983,0.40507
butte,GR,1000,rising,gcc_mean,2012-05-28,2012-06-05,2012-06-20,2012-05-24,2012-06-03,2012-06-17,2012-05-31,2012-06-07,2012-06-22,0.35974,0.367,0.37985,0.35495,0.40424
butte,GR,1000,rising,gcc_mean,2013-05-08,2013-05-26,2013-06-05,2013-05-02,2013-05-25,2013-06-03,2013-05-15,2013-05-29,2013-06-06,0.35669,0.36469,0.38063,0.35115,0.40831
butte,GR,1000,rising,gcc_mean,2014-05-19,2014-05-26,2014-06-06,2014-05-18,2014-05-25,2014-06-03,2014-05-22,2014-05-28,2014-06-07,0.3597,0.36824,0.38397,0.35484,0.41051
butte,GR,1000,rising,gcc_mean,2015-05-08,2015-05-18,2015-05-26,2015-05-02,2015-05-17,2015-05-24,2015-05-12,2015-05-20,2015-05-27,0.35676,0.3642,0.38122,0.35103,0.40877
butte,GR,1000,rising,gcc_mean,2016-04-13,2016-04-27,2016-05-10,2016-04-06,2016-04-25,2016-05-08,2016-04-18,2016-04-29,2016-05-11,0.35536,0.36383,0.37894,0.35011,0.40536
butte,GR,1000,rising,gcc_mean,2017-04-29,2017-05-07,2017-05-25,2017-04-27,2017-05-05,2017-05-23,2017-05-01,2017-05-10,2017-05-26,0.35852,0.36484,0.37634,0.35437,0.39685
butte,GR,1000,rising,gcc_mean,2018-05-01,2018-05-07,2018-05-16,2018-04-29,2018-05-06,2018-05-14,2018-05-03,2018-05-09,2018-05-17,0.3582,0.36534,0.38199,0.35311,0.40763
butte,GR,1000,rising,gcc_mean,2019-05-08,2019-05-14,2019-05-23,2019-05-06,2019-05-13,2019-05-21,2019-05-10,2019-05-16,2019-05-24,0.36004,0.36767,0.38176,0.35498,0.40636
butte,GR,1000,falling,gcc_90,2019-10-02,2019-09-16,2019-08-20,2019-10-08,2019-09-19,2019-08-24,2019-09-28,2019-09-13,2019-08-18,0.36288,0.3716,0.38713,0.35709,0.41589
butte,GR,1000,falling,gcc_90,2018-10-01,2018-09-16,2018-08-26,2018-10-07,2018-09-18,2018-08-29,2018-09-26,2018-09-13,2018-08-24,0.36103,0.3698,0.3869,0.35489,0.41791
butte,GR,1000,falling,gcc_90,2017-10-03,2017-09-09,2017-08-10,2017-10-27,2017-09-12,2017-08-13,2017-09-26,2017-09-04,2017-08-08,0.36015,0.36698,0.37964,0.35545,0.40309
butte,GR,1000,falling,gcc_90,2016-08-30,2016-08-18,2016-07-13,2016-09-04,2016-08-20,2016-07-17,2016-08-26,2016-08-15,2016-07-10,0.36484,0.37317,0.38749,0.35938,0.4155
butte,GR,1000,falling,gcc_90,2015-09-26,2015-09-03,2015-08-11,2015-10-02,2015-09-06,2015-08-13,2015-09-20,2015-08-30,2015-08-09,0.36419,0.37343,0.38875,0.3583,0.41916
butte,GR,1000,falling,gcc_90,2014-10-15,2014-09-16,2014-09-03,2014-10-20,2014-09-18,2014-09-05,2014-10-11,2014-09-13,2014-09-02,0.36135,0.37049,0.38802,0.35487,0.42048
butte,GR,1000,falling,gcc_90,2013-10-07,2013-09-27,2013-09-14,2013-10-10,2013-09-29,2013-09-16,2013-10-03,2013-09-25,2013-09-10,0.36195,0.37134,0.38683,0.35641,0.41718
butte,GR,1000,falling,gcc_90,2012-10-09,2012-09-15,2012-08-31,2012-10-12,2012-09-19,2012-09-02,2012-10-04,2012-09-12,2012-08-29,0.36129,0.37046,0.38523,0.35582,0.41441
butte,GR,1000,falling,gcc_90,2011-09-26,2011-09-13,2011-08-30,2011-10-01,2011-09-15,2011-09-01,2011-09-22,2011-09-10,2011-08-28,0.36307,0.37183,0.38735,0.35724,0.41741
butte,GR,1000,falling,gcc_90,2010-10-03,2010-09-13,2010-09-01,2010-10-10,2010-09-16,2010-09-03,2010-09-27,2010-09-10,2010-08-31,0.36304,0.37103,0.38648,0.35742,0.41389
butte,GR,1000,falling,gcc_90,2009-09-29,2009-09-13,2009-08-15,2009-10-02,2009-09-15,2009-08-18,2009-09-24,2009-09-10,2009-08-14,0.3602,0.36875,0.38554,0.35433,0.41454
